id,question,trending_score
528,Are you excited for the new (all female) Ghostbusters?,750.8
690,Is God real,761
480,Sherlock or Doctor Who?,764.2
878,Are you always hot or always cold?,768.6
536,MOOC or go to school?,771.3
482,Chicago Cubs: Is this finally the year?,782.3
535,Where do you like share your photos?,806.2
456,Who wore it better?,807.5
691,Do you believe in Rebirth?,818
481,You have 3 options for toilet paper; duct tape, sand paper or your hand, which do you choose?,840.9
483,How do you celebrate Cinco de Mayo?,846.5
621,Should Bernie Sanders drop out now?,857.9
692,Which is Green Day's best song?,903.3
1070,Will you buy the iPhone 7 even though it has no headphone jack?,917.8
695,Who wins Game of Thrones?,921
534,Pizza or burger?,928
912,Drake or Eminem?,946.6
484,Does Trump's racist "I love Hispanics" post surprise you?,966.6
592,Warriors or Cavs, who wins the NBA Finals?,992
457,Which would you rather be?,994.2
591,Should a zoo animal be killed if a human enters its cage?,1006
611,If you could, would you bring Tupac or Michael Jackson back from the dead?,1008.3
487,Is JT's 'Can't Stop the Feeling' already the song of the summer?,1064
537,Who do you love most?,1084.1
486,Who is richer Tony Stark (Ironman) or Bruce Wayne (Batman),1129.7
485,Should Caitlyn Jenner appear nude on the cover of SI?,1138.8
593,Would you let your child play football?,1281.1
462,Did you text your ex after listening to Drake's new album?,1296.4
488,Would you rather have 1 trillion dollars, or find true love?,1365.5
538,Who you love most?,1367.3
458,Does it bother you when people don't put a question mark after the question,1375.6
489,What type of Apocalypse do you think will happen?,1378.5
594,Hay Day or FarmVille?,1401.5
490,Are you afraid of your basement?,1418.1
491,How many rats do you think live in Donald Trump's hairpiece? ,1481.3
493,Whose side are you on?,1573.1
906,Which Is The Best Meme of 2016?,1586.8
696,Could you date a person who lived with a roommate of the opposite sex?,1625.2
464,Planet, rare skin disease, or hamburger patty from a local high school?,1634.9
495,Do you like Justin Bieber's new face tattoo?,1686.7
648,Do you think we need to ban civilians from buying assault rifles?,1713.9
941,Is Donald Trump just misunderstood by the media, or is he really just a garbage troll monster,1794.8
496,Best truck?,1964.1
494,Do you pee in the shower,1990.9
539,Have you ever sent a nude photo to anyone?,2663.8
693,Are there really more than two genders?,3158.1
497,How often do you masturbate?,3160.9
595,Favorite luxury brand?,3821.9
459,Marvel or DC?,5537.4
573,Would you rather be rich and ugly, or poor and hot?,5950.7
697,Should Abortion Be Made Fully Illegal?,7669.9
540,Which is better ,11445.7
698,Which is truly better, iPhone or Android?,15448.8
596,Who's the worst announcer in sports?,20246.8
498,Which Pokemon is the best?,24907.2
